user,repo,path,stars
frictionlessdata,datapackage-py,data/empty_datapackage.json,179
nice-registry,dependent-packages,dependents/datapackage.json,32
datopian,datahq-pm,qa-data/invalid-json/datapackage.json,8
regro,cf-graph-countyfair,versions/datapackage.json,3
vdubya,Open-Built-Environment-Datasets,datapackages/MHS_RoomDataSheets/datapackage.json,2
okdistribute,protobufit,schemas/datapackage.json,1
erictleung,2018-new-coder-survey,clean-data/datapackage.json,0
datopian,mydataset,datapackage.json,0
CT-Data-Collaborative,teen-birth-rates,datapackage.json,0
